"Story","Title","Result","Date","Stability","Duration (s)"
<<<<<<< HEAD
"User on landing page","User membuka page pertanyaan","SUCCESS","2022-07-17T20:11:05.5873375+07:00[Asia/Jakarta]","0.0","11.18"
"User on landing page","User membuka tulis jawaban","SUCCESS","2022-07-17T20:11:18.0419042+07:00[Asia/Jakarta]","0.0","4.75"
"User on landing page","user membuka notifikasi","SUCCESS","2022-07-17T20:11:23.1717703+07:00[Asia/Jakarta]","0.0","4.78"
"User on landing page","User membuka search field","SUCCESS","2022-07-17T20:11:28.7311025+07:00[Asia/Jakarta]","0.0","3.83"
"User on landing page","User membuka Explore","SUCCESS","2022-07-17T20:11:32.9745776+07:00[Asia/Jakarta]","0.0","4.08"
"User on landing page","User membuka Trending","SUCCESS","2022-07-17T20:11:37.3480712+07:00[Asia/Jakarta]","0.0","4.5"
"User on landing page","User membuka message","SUCCESS","2022-07-17T20:11:42.158413+07:00[Asia/Jakarta]","0.0","4.17"
"User on landing page","User membuka Bookmarks","SUCCESS","2022-07-17T20:11:46.6115999+07:00[Asia/Jakarta]","0.0","4.12"
"User on landing page","User membuka Jawab","SUCCESS","2022-07-17T20:11:51.0701158+07:00[Asia/Jakarta]","0.0","4.24"
"User on landing page","User membuka Ruang","SUCCESS","2022-07-17T20:11:55.642418+07:00[Asia/Jakarta]","0.0","4.17"
"User on landing page","User membuka Profil","SUCCESS","2022-07-17T20:12:00.1423521+07:00[Asia/Jakarta]","0.0","4.05"
"User on landing page","User membuat Thread","SUCCESS","2022-07-17T20:12:04.6274718+07:00[Asia/Jakarta]","0.0","4.4"
"User on login page","User input valid email and password","SUCCESS","2022-07-17T20:12:09.4118859+07:00[Asia/Jakarta]","0.0","4.47"
"User on login page","user input valid email and invalid password","SUCCESS","2022-07-17T20:12:14.2165306+07:00[Asia/Jakarta]","0.0","3.91"
"User on login page","user input invalid email and valid password","SUCCESS","2022-07-17T20:12:18.4893145+07:00[Asia/Jakarta]","0.0","4.58"
"User on login page","user input invalid email and invalid password","SUCCESS","2022-07-17T20:12:23.450499+07:00[Asia/Jakarta]","0.0","4.1"
"user on page pertanyaan","User mengirimkan pertanyaan","SUCCESS","2022-07-17T20:12:36.558589+07:00[Asia/Jakarta]","0.0","0.07"
"user on page ruang admin","User membuat ruang","SUCCESS","2022-07-17T20:12:36.6435939+07:00[Asia/Jakarta]","0.0","0.1"
"user on page ruang moderator","Moderator membuka ruang","SUCCESS","2022-07-17T20:12:36.7501926+07:00[Asia/Jakarta]","0.0","0.02"
"user on page ruang user","user membuka salah satu ruang","SUCCESS","2022-07-17T20:12:36.7823828+07:00[Asia/Jakarta]","0.0","0.02"
"user on register page","User input valid data","SUCCESS","2022-07-17T20:12:36.8085423+07:00[Asia/Jakarta]","0.0","9.27"
"user on register page","user input email tanpa menggunakan '@'","SUCCESS","2022-07-17T20:12:46.5098955+07:00[Asia/Jakarta]","0.0","7.26"
"user on register page","user tidak memasukkan email","SUCCESS","2022-07-17T20:12:54.1334898+07:00[Asia/Jakarta]","0.0","6.55"
"user on register page","user tidak memasukan nama depan","SUCCESS","2022-07-17T20:13:01.006298+07:00[Asia/Jakarta]","0.0","6.26"
"user on register page","user tidak memasukkan password","SUCCESS","2022-07-17T20:13:07.8513143+07:00[Asia/Jakarta]","0.0","6.69"
"user on register page","user tidak memasukkan nama belakang","SUCCESS","2022-07-17T20:13:14.8857251+07:00[Asia/Jakarta]","0.0","6.79"
"user on register page","user tidak memasukkan jenis kelamin","SUCCESS","2022-07-17T20:13:22.0368573+07:00[Asia/Jakarta]","0.0","6.69"
"user on register page","user tidak mengisi confirm password","SUCCESS","2022-07-17T20:13:29.1018271+07:00[Asia/Jakarta]","0.0","6.71"
=======
"User on landing page","user membuka notifikasi","SUCCESS","2022-07-17T19:05:42.558811+07:00[Asia/Bangkok]","0.0","29.53"
"User on landing page","User membuka search field","SUCCESS","2022-07-17T19:06:13.3651368+07:00[Asia/Bangkok]","0.0","23.36"
"User on landing page","User membuka Explore","SUCCESS","2022-07-17T19:06:37.7390898+07:00[Asia/Bangkok]","0.0","15.39"
"User on landing page","User membuka Trending","SUCCESS","2022-07-17T19:06:54.0348412+07:00[Asia/Bangkok]","0.0","13.59"
"User on landing page","User membuka message","SUCCESS","2022-07-17T19:07:08.7823286+07:00[Asia/Bangkok]","0.0","14.56"
"User on landing page","User membuka Bookmarks","SUCCESS","2022-07-17T19:07:24.3656876+07:00[Asia/Bangkok]","0.0","35.76"
"User on landing page","User membuka Jawab","SUCCESS","2022-07-17T19:08:01.9612813+07:00[Asia/Bangkok]","0.0","15.93"
"User on landing page","User membuka Ruang","SUCCESS","2022-07-17T19:08:19.0283442+07:00[Asia/Bangkok]","0.0","26.02"
"User on landing page","User membuka Profil","SUCCESS","2022-07-17T19:08:46.0832306+07:00[Asia/Bangkok]","0.0","27.67"
"User on landing page","User membuat Thread","SUCCESS","2022-07-17T19:09:17.7881374+07:00[Asia/Bangkok]","0.0","31.96"
"User on login page","User input valid email and password","SUCCESS","2022-07-17T19:09:53.2834522+07:00[Asia/Bangkok]","0.0","38.43"
"User on login page","user input valid email and invalid password","SUCCESS","2022-07-17T19:10:34.5832706+07:00[Asia/Bangkok]","0.0","32.64"
"User on login page","user input invalid email and valid password","SUCCESS","2022-07-17T19:11:08.3538039+07:00[Asia/Bangkok]","0.0","50.68"
"user on page pertanyaan","User mengirimkan pertanyaan","SUCCESS","2022-07-17T19:17:39.8017376+07:00[Asia/Bangkok]","0.0","0.27"
"user on page ruang admin","User membuat ruang","SUCCESS","2022-07-17T19:17:40.4057829+07:00[Asia/Bangkok]","0.0","0.32"
"user on page ruang moderator","Moderator membuka ruang","SUCCESS","2022-07-17T19:17:40.7595261+07:00[Asia/Bangkok]","0.0","0.06"
"user on page ruang user","user membuka salah satu ruang","SUCCESS","2022-07-17T19:17:40.8625341+07:00[Asia/Bangkok]","0.0","0.09"
"user on register page","User input valid data","SUCCESS","2022-07-17T19:17:40.9825401+07:00[Asia/Bangkok]","0.0","45.7"
"user on register page","user input email tanpa menggunakan '@'","SUCCESS","2022-07-17T19:18:28.4101386+07:00[Asia/Bangkok]","0.0","34.18"
"user on register page","user tidak memasukkan email","SUCCESS","2022-07-17T19:19:03.8559974+07:00[Asia/Bangkok]","0.0","29.05"
"user on register page","user tidak memasukan nama depan","SUCCESS","2022-07-17T19:19:34.1041739+07:00[Asia/Bangkok]","0.0","50.52"
"user on register page","user tidak memasukkan password","SUCCESS","2022-07-17T19:20:25.8545947+07:00[Asia/Bangkok]","0.0","29.38"
"user on register page","user tidak memasukkan nama belakang","SUCCESS","2022-07-17T19:20:56.4323561+07:00[Asia/Bangkok]","0.0","24.05"
"user on register page","user tidak memasukkan jenis kelamin","SUCCESS","2022-07-17T19:21:21.4798401+07:00[Asia/Bangkok]","0.0","34.6"
"user on register page","user tidak mengisi confirm password","SUCCESS","2022-07-17T19:21:57.3356388+07:00[Asia/Bangkok]","0.0","62.8"
>>>>>>> 3eb7ed59fd558cd82a68549bb500382e6b35ceb5
