"Story","Title","Result","Date","Stability","Duration (s)"
<<<<<<< HEAD
"User on landing page","User membuka page pertanyaan","SUCCESS","2022-07-17T20:11:05.5873375+07:00[Asia/Jakarta]","0.0","11.18"
"User on landing page","User membuka tulis jawaban","SUCCESS","2022-07-17T20:11:18.0419042+07:00[Asia/Jakarta]","0.0","4.75"
"User on landing page","user membuka notifikasi","SUCCESS","2022-07-17T20:11:23.1717703+07:00[Asia/Jakarta]","0.0","4.78"
"User on landing page","User membuka search field","SUCCESS","2022-07-17T20:11:28.7311025+07:00[Asia/Jakarta]","0.0","3.83"
"User on landing page","User membuka Explore","SUCCESS","2022-07-17T20:11:32.9745776+07:00[Asia/Jakarta]","0.0","4.08"
"User on landing page","User membuka Trending","SUCCESS","2022-07-17T20:11:37.3480712+07:00[Asia/Jakarta]","0.0","4.5"
"User on landing page","User membuka message","SUCCESS","2022-07-17T20:11:42.158413+07:00[Asia/Jakarta]","0.0","4.17"
"User on landing page","User membuka Bookmarks","SUCCESS","2022-07-17T20:11:46.6115999+07:00[Asia/Jakarta]","0.0","4.12"
"User on landing page","User membuka Jawab","SUCCESS","2022-07-17T20:11:51.0701158+07:00[Asia/Jakarta]","0.0","4.24"
"User on landing page","User membuka Ruang","SUCCESS","2022-07-17T20:11:55.642418+07:00[Asia/Jakarta]","0.0","4.17"
"User on landing page","User membuka Profil","SUCCESS","2022-07-17T20:12:00.1423521+07:00[Asia/Jakarta]","0.0","4.05"
"User on landing page","User membuat Thread","SUCCESS","2022-07-17T20:12:04.6274718+07:00[Asia/Jakarta]","0.0","4.4"
=======
"User on landing page","user membuka notifikasi","SUCCESS","2022-07-17T19:05:42.558811+07:00[Asia/Bangkok]","0.0","29.53"
"User on landing page","User membuka search field","SUCCESS","2022-07-17T19:06:13.3651368+07:00[Asia/Bangkok]","0.0","23.36"
"User on landing page","User membuka Explore","SUCCESS","2022-07-17T19:06:37.7390898+07:00[Asia/Bangkok]","0.0","15.39"
"User on landing page","User membuka Trending","SUCCESS","2022-07-17T19:06:54.0348412+07:00[Asia/Bangkok]","0.0","13.59"
"User on landing page","User membuka message","SUCCESS","2022-07-17T19:07:08.7823286+07:00[Asia/Bangkok]","0.0","14.56"
"User on landing page","User membuka Bookmarks","SUCCESS","2022-07-17T19:07:24.3656876+07:00[Asia/Bangkok]","0.0","35.76"
"User on landing page","User membuka Jawab","SUCCESS","2022-07-17T19:08:01.9612813+07:00[Asia/Bangkok]","0.0","15.93"
"User on landing page","User membuka Ruang","SUCCESS","2022-07-17T19:08:19.0283442+07:00[Asia/Bangkok]","0.0","26.02"
"User on landing page","User membuka Profil","SUCCESS","2022-07-17T19:08:46.0832306+07:00[Asia/Bangkok]","0.0","27.67"
"User on landing page","User membuat Thread","SUCCESS","2022-07-17T19:09:17.7881374+07:00[Asia/Bangkok]","0.0","31.96"
>>>>>>> 3eb7ed59fd558cd82a68549bb500382e6b35ceb5
