"Story","Title","Result","Date","Stability","Duration (s)"
<<<<<<< HEAD
"user on register page","User input valid data","SUCCESS","2022-07-17T20:12:36.8085423+07:00[Asia/Jakarta]","0.0","9.27"
"user on register page","user input email tanpa menggunakan '@'","SUCCESS","2022-07-17T20:12:46.5098955+07:00[Asia/Jakarta]","0.0","7.26"
"user on register page","user tidak memasukkan email","SUCCESS","2022-07-17T20:12:54.1334898+07:00[Asia/Jakarta]","0.0","6.55"
"user on register page","user tidak memasukan nama depan","SUCCESS","2022-07-17T20:13:01.006298+07:00[Asia/Jakarta]","0.0","6.26"
"user on register page","user tidak memasukkan password","SUCCESS","2022-07-17T20:13:07.8513143+07:00[Asia/Jakarta]","0.0","6.69"
"user on register page","user tidak memasukkan nama belakang","SUCCESS","2022-07-17T20:13:14.8857251+07:00[Asia/Jakarta]","0.0","6.79"
"user on register page","user tidak memasukkan jenis kelamin","SUCCESS","2022-07-17T20:13:22.0368573+07:00[Asia/Jakarta]","0.0","6.69"
"user on register page","user tidak mengisi confirm password","SUCCESS","2022-07-17T20:13:29.1018271+07:00[Asia/Jakarta]","0.0","6.71"
=======
"user on register page","User input valid data","SUCCESS","2022-07-17T19:17:40.9825401+07:00[Asia/Bangkok]","0.0","45.7"
"user on register page","user input email tanpa menggunakan '@'","SUCCESS","2022-07-17T19:18:28.4101386+07:00[Asia/Bangkok]","0.0","34.18"
"user on register page","user tidak memasukkan email","SUCCESS","2022-07-17T19:19:03.8559974+07:00[Asia/Bangkok]","0.0","29.05"
"user on register page","user tidak memasukan nama depan","SUCCESS","2022-07-17T19:19:34.1041739+07:00[Asia/Bangkok]","0.0","50.52"
"user on register page","user tidak memasukkan password","SUCCESS","2022-07-17T19:20:25.8545947+07:00[Asia/Bangkok]","0.0","29.38"
"user on register page","user tidak memasukkan nama belakang","SUCCESS","2022-07-17T19:20:56.4323561+07:00[Asia/Bangkok]","0.0","24.05"
"user on register page","user tidak memasukkan jenis kelamin","SUCCESS","2022-07-17T19:21:21.4798401+07:00[Asia/Bangkok]","0.0","34.6"
"user on register page","user tidak mengisi confirm password","SUCCESS","2022-07-17T19:21:57.3356388+07:00[Asia/Bangkok]","0.0","62.8"
>>>>>>> 3eb7ed59fd558cd82a68549bb500382e6b35ceb5
