"Story","Title","Result","Date","Stability","Duration (s)"
"User on landing page","User membuka page pertanyaan","SUCCESS","2022-07-18T09:35:49.7101382+07:00[Asia/Bangkok]","0.0","25.95"
"User on landing page","User membuka tulis jawaban","SUCCESS","2022-07-18T09:36:19.18845+07:00[Asia/Bangkok]","0.0","11.7"
"User on landing page","user membuka notifikasi","SUCCESS","2022-07-18T09:36:32.4913347+07:00[Asia/Bangkok]","0.0","15.08"
"User on landing page","User membuka search field","SUCCESS","2022-07-18T09:36:48.7789329+07:00[Asia/Bangkok]","0.0","14.83"
"User on landing page","User membuka Explore","SUCCESS","2022-07-18T09:37:04.7226603+07:00[Asia/Bangkok]","0.0","10.89"
"User on landing page","User membuka Trending","SUCCESS","2022-07-18T09:37:16.6778959+07:00[Asia/Bangkok]","0.0","20.39"
"User on landing page","User membuka message","SUCCESS","2022-07-18T09:37:38.2207003+07:00[Asia/Bangkok]","0.0","19.04"
"User on landing page","User membuka Bookmarks","SUCCESS","2022-07-18T09:37:58.3472503+07:00[Asia/Bangkok]","0.0","12.63"
"User on landing page","User membuka Jawab","SUCCESS","2022-07-18T09:38:11.9895368+07:00[Asia/Bangkok]","0.0","16.87"
"User on landing page","User membuka Ruang","SUCCESS","2022-07-18T09:38:31.7442551+07:00[Asia/Bangkok]","0.0","25.56"
"User on landing page","User membuka Profil","SUCCESS","2022-07-18T09:38:58.4395538+07:00[Asia/Bangkok]","0.0","22.56"
"User on landing page","User membuat Thread","SUCCESS","2022-07-18T09:39:22.497108+07:00[Asia/Bangkok]","0.0","12.46"
