"Story","Title","Result","Date","Stability","Duration (s)"
"User on landing page","User membuka page pertanyaan","SUCCESS","2022-07-18T09:35:49.7101382+07:00[Asia/Bangkok]","0.0","25.95"
"User on landing page","User membuka tulis jawaban","SUCCESS","2022-07-18T09:36:19.18845+07:00[Asia/Bangkok]","0.0","11.7"
"User on landing page","user membuka notifikasi","SUCCESS","2022-07-18T09:36:32.4913347+07:00[Asia/Bangkok]","0.0","15.08"
"User on landing page","User membuka search field","SUCCESS","2022-07-18T09:36:48.7789329+07:00[Asia/Bangkok]","0.0","14.83"
"User on landing page","User membuka Explore","SUCCESS","2022-07-18T09:37:04.7226603+07:00[Asia/Bangkok]","0.0","10.89"
"User on landing page","User membuka Trending","SUCCESS","2022-07-18T09:37:16.6778959+07:00[Asia/Bangkok]","0.0","20.39"
"User on landing page","User membuka message","SUCCESS","2022-07-18T09:37:38.2207003+07:00[Asia/Bangkok]","0.0","19.04"
"User on landing page","User membuka Bookmarks","SUCCESS","2022-07-18T09:37:58.3472503+07:00[Asia/Bangkok]","0.0","12.63"
"User on landing page","User membuka Jawab","SUCCESS","2022-07-18T09:38:11.9895368+07:00[Asia/Bangkok]","0.0","16.87"
"User on landing page","User membuka Ruang","SUCCESS","2022-07-18T09:38:31.7442551+07:00[Asia/Bangkok]","0.0","25.56"
"User on landing page","User membuka Profil","SUCCESS","2022-07-18T09:38:58.4395538+07:00[Asia/Bangkok]","0.0","22.56"
"User on landing page","User membuat Thread","SUCCESS","2022-07-18T09:39:22.497108+07:00[Asia/Bangkok]","0.0","12.46"
"User on login page","User input valid email and password","SUCCESS","2022-07-18T09:39:37.7737307+07:00[Asia/Bangkok]","0.0","24.57"
"User on login page","user input valid email and invalid password","SUCCESS","2022-07-18T09:40:05.1088573+07:00[Asia/Bangkok]","0.0","10.78"
"User on login page","user input invalid email and valid password","SUCCESS","2022-07-18T09:40:17.6743678+07:00[Asia/Bangkok]","0.0","14.18"
"User on login page","user input invalid email and invalid password","SUCCESS","2022-07-18T09:40:32.9706224+07:00[Asia/Bangkok]","0.0","14.49"
"user on page jawaban","User menjawab pertanyaan","SUCCESS","2022-07-18T09:40:49.948528+07:00[Asia/Bangkok]","0.0","29.31"
"user on page pertanyaan","User mengirimkan pertanyaan","SUCCESS","2022-07-18T09:41:20.4600825+07:00[Asia/Bangkok]","0.0","1.6"
"user on page ruang admin","User membuat ruang","SUCCESS","2022-07-18T09:41:22.0861352+07:00[Asia/Bangkok]","0.0","0.84"
"user on page ruang moderator","Moderator membuka ruang","SUCCESS","2022-07-18T09:41:22.9602023+07:00[Asia/Bangkok]","0.0","0.11"
"user on page ruang user","user membuka salah satu ruang","SUCCESS","2022-07-18T09:41:23.0899424+07:00[Asia/Bangkok]","0.0","0.07"
"user on register page","User input valid data","SUCCESS","2022-07-18T09:41:23.1879547+07:00[Asia/Bangkok]","0.0","30.78"
"user on register page","user input email tanpa menggunakan '@'","SUCCESS","2022-07-18T09:41:55.152196+07:00[Asia/Bangkok]","0.0","16.39"
"user on register page","user tidak memasukkan email","SUCCESS","2022-07-18T09:42:12.6544443+07:00[Asia/Bangkok]","0.0","15.3"
"user on register page","user tidak memasukan nama depan","SUCCESS","2022-07-18T09:42:29.006978+07:00[Asia/Bangkok]","0.0","16.48"
"user on register page","user tidak memasukkan password","SUCCESS","2022-07-18T09:42:46.6461349+07:00[Asia/Bangkok]","0.0","14.54"
"user on register page","user tidak memasukkan nama belakang","SUCCESS","2022-07-18T09:43:03.6337489+07:00[Asia/Bangkok]","0.0","15.96"
"user on register page","user tidak memasukkan jenis kelamin","SUCCESS","2022-07-18T09:43:20.8762838+07:00[Asia/Bangkok]","0.0","16.91"
"user on register page","user tidak mengisi confirm password","SUCCESS","2022-07-18T09:43:38.968674+07:00[Asia/Bangkok]","0.0","16.7"
